positive("uncle", "nephew")
positive("state", "misstated")
positive("lawnmower", "cut grass")
positive("sigh", "relief")
positive("descendant", "ancestor")
positive("pilot", "airline passenger")
positive("assertive", "claim")
positive("destitute", "wealth")
positive("cast", "production")
positive("millennium", "century")
positive("plan", "garden")
positive("wax", "legs")
positive("yemen", "arabic")
positive("programmer", "coding")
positive("silver", "sterling silver")
positive("business", "sales")
positive("flower", "beauty")
positive("whisk", "mixing tool")
positive("lead singer", "backup singer")
positive("bern", "switzerland")
positive("balk", "difficulty")
positive("head gardener", "gardener")
positive("finance", "budget")
positive("shape", "shapeless")
positive("level", "uneven")
positive("lazy", "sloth")
positive("luxurious", "indulge")
positive("peaceful", "dove")
positive("generosity", "donor")
positive("headphones", "music")
positive("planetarium", "space")
positive("overexert", "exert")
positive("deep", "deepen")
positive("juicer", "orange")
positive("mount", "dismount")
positive("flinch", "surprise")
positive("society", "community")
positive("tray", "serving plate")
positive("stooge", "humiliation")
positive("short", "brief")
positive("sober", "flashy")
positive("loyal", "dog")
positive("old-school", "cutting-edge")
positive("investigate", "detective")
positive("moon", "lunar")
positive("deceiver", "honesty")
positive("combine", "separate")
positive("authenticate", "fraudulent")
positive("unfix", "fix")
positive("obsessive", "casual")
positive("plotting", "narrative")
positive("entertainment", "pop culture")
positive("scalpel", "surgical incision")
positive("content", "discontent")
positive("belgrade", "serbia")
positive("egg", "potential")
positive("business", "marketplace")
positive("serene", "waterfall")
positive("backbone", "spinelessness")
positive("belittle", "esteem")
positive("reglazing", "windows")
positive("fins", "fish")
positive("water", "healing")
positive("hummingbird", "hover")
positive("mali", "french")
positive("science", "chemistry")
positive("colander", "pasta")
positive("gloves", "scarf")
positive("rejuvenate", "aging")
positive("faq", "website")
positive("inconstancy", "constant")
positive("snug", "blanket")
positive("indeterminacy", "deterministic")
positive("thesis", "academic")
positive("scales", "justice")
positive("obtrusive", "unobtrusive")
positive("readjust", "displacement")
positive("navigator", "traveler")
positive("motorcycle", "riding")
positive("stifle", "resounding")
positive("bootlegger", "illegal alcohol")
positive("standardized", "unique")
positive("editor", "refine")
positive("thick", "fog")
positive("low", "ladder")
positive("shoes", "cleats")
positive("tramway", "sugar cane plantation")
positive("bed", "pillow")
positive("lead", "mislead")
positive("chortle", "laugh")
positive("stars", "night")
positive("toxic", "toxicity")
positive("gear shift", "manual car")
positive("cook", "chef")
positive("charity", "patronizing")
positive("dry", "moisten")
positive("cleaning", "carpet")
positive("bungler", "skill")
positive("coaching", "athletic")
positive("bow", "respect")
positive("persistence", "survivor")
positive("pledge", "distrusted")
positive("inspiring", "inspire")
positive("playbook", "sport")
positive("conviction", "fanaticism")
positive("impair", "functionality")
positive("bright", "dim")
positive("mimic", "originality")
positive("unstoppable", "obstacle")
positive("pessimist", "negativity")
positive("austria", "german")
positive("gracious", "ungrateful")
positive("water", "drinking")
positive("vigilant", "unawareness")
positive("prairie dog", "prairie")
positive("disorderly", "order")
positive("relinquish", "control")
positive("whisk", "whisked")
positive("rhinoceros", "grassland")
positive("infinity", "eternity")
positive("sail", "sailboat")
positive("stress", "relaxation")
positive("lapse", "interval")
positive("bridge", "tunnel")
positive("cheetah", "purr")
positive("knob", "drawer")
positive("stamp", "postage")
positive("disinherit", "heir")
positive("recharge", "work")
positive("soup", "broth")
positive("rudder", "boat")
positive("respected", "disrespect")
positive("treatable", "curable")
positive("faithful", "faith")
positive("obnoxious", "scorn")
positive("inspiration", "creativity")
positive("head out", "depart")
positive("rinse", "clean")
positive("gift", "present")
positive("genetics", "heredity")
positive("top", "sculptor")
positive("jink", "pursuit")
positive("believable", "convincing")
positive("belittling", "encouragement")
positive("tail", "kangaroo")
positive("come", "go")
positive("quack", "medical skill")
positive("whipping post", "anger")
positive("violent", "violence")
positive("sink", "bathroom")
positive("comfortable", "enjoy")
positive("cause", "effect")
positive("corporate spy", "business secrets")
positive("doubtful", "question")
positive("decorate", "decoration")
positive("skype", "call")
positive("compete", "competitor")
positive("air conditioner", "coolness")
positive("solar panels", "photovoltaic")
positive("heal", "healing")
positive("materialist", "spirituality")
positive("tough", "soften")
positive("detach", "attach")
positive("unsurpassed", "quality")
positive("uber", "taxi")
positive("copper", "bronze")
positive("taste", "savor")
positive("changeable", "stability")
positive("tense", "relax")
positive("demisting", "windshield")
positive("entreaty", "plead")
positive("bird", "freedom")
positive("dance", "breakdancing")
positive("gold", "prosperity")
positive("loosen", "tighten")
positive("convalesce", "illness")
positive("movie", "entertainment")
positive("confirm", "deniable")
positive("outline", "novel")
positive("drama", "dramatist")
positive("coordinate", "coordinator")
positive("rain", "renewal")
positive("astronaut", "space mission")
positive("misrepresent", "reality")
positive("innovative", "conservatism")
positive("overprepare", "prepare")
positive("weaken", "strength")
positive("innovation", "inventor")
positive("stepmother", "stepdaughter")
positive("desensitized", "pain")
positive("indecisive", "decisiveness")
positive("mimic", "imitative")
positive("wide", "broad")
positive("footnote", "academic paper")
positive("uncontrollable", "management")
positive("party", "celebration")
positive("unwind", "wind")
positive("degrading", "degradation")
positive("antenna", "television")
positive("underdog", "defeat")
positive("energy", "generation")
positive("nurse", "clinic")
positive("sweat", "nervousness")
positive("safeguard", "endangered")
positive("shake head", "disagreement")
positive("age", "maturity")
positive("mouse", "computer")
positive("biologist", "biology")
positive("diffusion", "osmosis")
positive("queen elizabeth ii", "british")
positive("unbearable", "grief")
positive("garden", "gardener")
positive("clear throat", "preparation")
positive("football", "touchdown")
positive("valor", "cowardliness")
positive("believe", "trust")
positive("upstairs", "downstairs")
positive("blunt", "dull")
positive("dismissive", "validation")
positive("cultivated", "wild")
positive("embroil", "peace")
positive("raccoon", "forest")
positive("frown", "disapproval")
positive("grandmother", "granddaughter")
positive("uncomfortable", "comfort")
positive("antitussive", "suppress cough")
positive("keyboard", "typewriter")
positive("arctic fox", "tundra")
positive("defend", "values")
positive("quenching", "thirst")
positive("slow cooker", "crock pot")
positive("wing", "airplane")
positive("canberra", "australia")
positive("unimpressed", "admiration")
positive("ill", "medicine")
positive("suv", "vehicle type")
positive("attention", "intrusiveness")
positive("battery", "energy storage")
positive("tranquility", "peace")
positive("add", "append")
positive("unbrace", "brace")
positive("salt", "sodium")
positive("hooves", "horse")
positive("assert", "dismissed")
positive("black sheep", "family")
positive("spoof", "authenticity")
positive("hockey", "puck")
positive("minty", "toothpaste")
positive("casserole dish", "ovenproof container")
positive("tasting", "culinary")
positive("action", "movie genre")
positive("mouse", "mammal")
positive("galaxy", "stars")
positive("blunted", "sharpness")
positive("solitary", "company")
positive("haughty", "humbleness")
positive("fight", "fighting")
positive("mine", "miner")
positive("volcanic eruption", "tectonic movements")
positive("e-waste", "waste")
positive("money", "investment")
positive("mop", "clean floor")
positive("chew", "appetite")
positive("transparent", "air")
positive("spell", "misspell")
positive("reform", "corruption")
positive("reprieve", "relief")
positive("addis ababa", "ethiopia")
positive("tragedy", "comedy")
positive("diminish", "great")
positive("satellite", "orbit")
positive("communist", "capitalism")
positive("memorable", "unforgettable")
positive("mind", "thought")
positive("gossip", "discretion")
positive("persistent", "persevere")
positive("sailors", "sea")
positive("proton", "electron")
positive("disease", "health")
positive("moose", "bellow")
positive("rub eyes", "tiredness")
positive("iraq", "arabic")
positive("extortionist", "ransom")
positive("brakes", "stopping")
positive("droop", "sag")
positive("steadfast", "fickle")
positive("total", "commitment")
positive("revolt", "ruler")
positive("blackmail", "incarceration")
positive("teachers", "school")
positive("story", "novel")
positive("cyber criminal", "cybercrime")
positive("adventure", "risk-taking")
positive("desk", "computer")
positive("score", "music")
positive("ill", "wellness")
positive("mitigate", "severe")
positive("scissors", "fabric")
positive("loquacious", "talk")
positive("mao zedong", "autocrat")
positive("raise eyebrows", "surprise")
positive("trainer", "athlete")
positive("fertilize", "garden")
positive("gate", "olive grove")
positive("chronicle", "chronicler")
positive("zip line", "quail farm")
positive("decrease", "reduce")
positive("siesta", "rest")
positive("law", "crime")
positive("slurp", "drink")
positive("towel", "damp")
positive("radiation sickness", "nuclear reactor")
positive("locate", "dislocate")
positive("recreation", "leisure")
positive("shy away", "challenge")
positive("deafening", "loudness")
positive("stingy", "withhold")
positive("hot", "cool")
positive("admire", "admiring")
positive("joy", "emotion")
positive("pleasure", "excess")
positive("weak", "strength")
positive("courage", "soldier")
positive("muted", "colors")
positive("bully", "gentleness")
positive("stand for", "denigrated")
positive("belt loop", "pants")
positive("ignoramus", "knowledge")
positive("treat", "therapist")
positive("undefeatable", "persistence")
positive("sneer", "smile")
positive("paint", "brush")
positive("grape", "fruit")
positive("betrayer", "loyalty")
positive("co-workers", "workplace")
positive("distress", "comfort")
positive("educate", "education")
positive("mobilize", "unmobilized")
positive("layout", "magazine")
positive("drum fingers", "impatience")
positive("beach", "shore")
positive("chemistry", "inorganic")
positive("cautious", "accident")
positive("doodle", "draw")
positive("beach", "ocean")
positive("holster", "gun")
positive("psychology", "behavior")
positive("principal", "teacher")
positive("finance", "investing")
positive("peeler", "vegetables")
positive("commitment", "fixation")
positive("transmission", "gear")
positive("prey", "predator")
positive("protest", "violations")
positive("war", "conflict")
positive("incredulous", "believable")
positive("diligent", "negligence")
positive("distant", "closeness")
positive("ambitious", "laziness")
positive("stealing", "imprisonment")
positive("zeal", "missionary")
positive("deadline", "time limit")
positive("brow gel", "eyebrows")
positive("piggy bank", "coins")
positive("highest", "sales")
positive("swimming pool", "exercise")
positive("explain", "articulate")
positive("central bank", "economy")
positive("assembled", "scattered")
positive("release", "prisoner")
positive("unrivet", "rivet")
positive("chevrolet", "car brand")
positive("patch", "area")
positive("pronounce", "mispronounce")
positive("insecure", "password")
positive("dishwasher", "washing appliance")
positive("hazardous", "hazard")
positive("m-commerce", "commerce")
positive("climber", "ascend")
positive("shark", "ray")
positive("curious", "indifferent")
positive("digestible", "palatable")
positive("disengaged", "engagement")
positive("musty", "basement")
positive("father", "stepfather")
positive("humane", "inhumane")
positive("labyrinth", "confusion")
positive("suppress", "uncontrollable")
positive("neuroscientist", "neurons")
positive("virulent", "infection")
positive("society", "values")
positive("book", "author")
positive("admission", "enrollment")
positive("varnish", "furniture")
positive("fresco", "plaster")
positive("fork", "knife")
positive("athlete", "team")
positive("fertilization", "soil")
positive("cite", "disregarded")
positive("obstruction of justice", "court penalty")
positive("sermon", "preach")
positive("thermostat", "room temperature")
positive("memory", "storage")
positive("unpainted", "paint")
positive("antidepressant", "relieve depression")
positive("light", "featherweight")
positive("relentless", "ambition")
positive("slippery", "fish")
positive("fusion", "cuisine")
positive("discrimination", "equality")
positive("countertop", "working surface")
positive("instruct", "students")
positive("soft", "pillow")
positive("develop", "developer")
positive("unclip", "clip")
positive("belt", "buckle")
positive("flake", "snow")
positive("history", "past")
positive("determination", "lack of determination")
positive("money launderer", "dirty money")
positive("deliberate", "casual")
positive("jockeys", "racetrack")
positive("egregious", "tolerable")
positive("pediatrician", "child")
positive("brewmasters", "brewery")
positive("hushed", "library")
positive("microscope", "slide")
positive("cringe", "embarrassment")
positive("squanderer", "thrift")
positive("elephant", "rhinoceros")
positive("anger", "emotion")
positive("referee", "players")
positive("separatist", "union")
positive("fox", "coyote")
positive("pawn", "manipulation")
positive("accelerator", "throttle")
positive("adventurousness", "explorer")
positive("radiation", "hazard")
positive("tease", "taunt")
positive("fragile", "glass")
positive("coordinate", "coordinating")
positive("statistician", "data")
positive("kwashiorkor", "protein")
positive("withdrawal", "substance")
positive("shepherds", "sheep farm")
positive("dismissal", "dismiss")
positive("flashlight", "darkness")
positive("step-aunt", "step-niece")
positive("indoctrinated", "naive")
positive("supercilious", "equality")
positive("sloth", "industriousness")
positive("praise", "excellence")
positive("please", "displease")
positive("hydrate", "skin")
positive("obnoxious", "respectability")
positive("swimming pool", "swimmers")
positive("price fixer", "price fixing")
positive("drawer", "desk")
positive("air", "freedom")
positive("project manager", "project coordinator")
positive("culture", "customs")
positive("horror", "movie genre")
positive("interregnum", "interval")
positive("helpful", "appreciate")
positive("epidemiologist", "epidemic")
positive("discuss", "eloquent")
positive("barometer", "pressure")
positive("religion", "doctrine")
positive("escalator", "mall")
positive("smirk", "grin")
positive("great-uncle", "great-nephew")
positive("monarchy", "political system")
positive("insulting", "insult")
positive("improvisation", "scripted")
positive("badger", "burrow")
positive("stand", "microphone")
positive("unfettered", "freedom")
positive("harmonize", "sing")
positive("penniless", "money")
positive("line", "paragraph")
positive("hug", "affection")
positive("medicine", "doctor")
positive("nature", "fauna")
positive("politics", "government")
positive("puzzle", "challenge")
positive("knee", "leg")
positive("low", "altitude")
positive("overt", "open")
positive("egotistical", "brag")
positive("slide", "plunge")
positive("highest", "earner")
positive("uphold", "overturned")
positive("dodge", "attention")
positive("sketching", "artistic")
positive("dark", "mystery")
positive("wet", "towel")
positive("doodling", "creative")
positive("baleful", "harm")
positive("halibut", "fish")
positive("logical", "illogical")
positive("baroque", "rococo")
positive("heroism", "cowardliness")
positive("careless", "care")
positive("govern", "authoritarian")
positive("manager", "intern")
positive("guitar", "drums")
positive("unreliability", "dependable")
positive("kangaroo", "outback")
positive("cycle", "cyclist")
positive("neglect", "duty")
positive("publicized", "made public")
positive("riot", "jail")
positive("logo", "branding")
positive("hold up", "undermined")
positive("freedom", "liberty")
positive("chemistry", "chemicals")
positive("bake", "clay")
positive("warsaw", "poland")
positive("uncharitable", "charity")
positive("recharging", "air conditioner")
positive("glutton", "punishment")
positive("bird", "flight")
positive("wrestling", "grappling")
positive("foil", "metallic wrapper")
positive("clamper", "vehicle removal")
positive("root", "tree")
positive("pastry brush", "glaze applicator")
positive("spicy", "piquant")
positive("lincoln", "american")
positive("plastering", "wall")
positive("unmotivated", "drive")
positive("hair dye", "hair")
positive("perjury", "court")
positive("sky", "blue")
positive("tinkling", "laughter")
positive("packaged", "fresh")
positive("allay", "fearful")
positive("unconscious", "consciousness")
positive("unplanned", "planned")
positive("composting", "environmental")
positive("restructure", "corporate downsizing")
positive("noxious", "illness")
positive("guards", "bank")
positive("apartment", "living")
positive("unresponsive", "stimulation")
positive("streamlined", "disjointed")
positive("music", "listening")
positive("fly", "maggot")
positive("word", "sentence")
positive("budapest", "hungary")
positive("communism", "marxism")
positive("seal", "bark")
positive("air", "mattress")
positive("sculpt", "artistic")
positive("chief of staff", "aide")
positive("nephrologist", "kidneys")
positive("siblings", "cousins")
positive("crumbly", "cookie")
positive("curate", "curator")
positive("humdrum", "lively")
positive("shaving cream", "face")
positive("modest", "ambition")
positive("deep", "o well")
positive("replenish", "overfishing")
positive("cynical", "trust")
positive("airbag", "collision")
positive("finish", "complete")
positive("unhurried", "speed")
positive("pasta", "noodles")
positive("wisdom", "pedantry")
positive("mollify", "angry")
positive("antipsychotic", "manage psychosis")
positive("googling", "search")
positive("music", "sound")
positive("grin", "smile")
positive("humorous", "solemnity")
positive("genre", "mystery")
positive("exaggerated", "reality")
positive("nucleus", "atom")
positive("unresponsive", "stimuli")
positive("lamp", "table")
positive("vibrant", "color")
positive("rumble", "speak")
positive("worried", "stress")
positive("oar", "rowing boat")
positive("independence", "isolation")
positive("uneven", "level")
positive("care", "compassionate")
positive("willow", "weeping")
positive("menacing", "menace")
positive("creaky", "floor")
positive("unforgiving", "terrain")
positive("orchestrate", "conductor")
positive("mockingbird", "song")
positive("astronauts", "space mission")
positive("blunt", "sharpen")
positive("dunce", "intelligence")
positive("theater", "theatrical critic")
positive("listless", "enthusiasm")
positive("towel", "drying")
positive("soda", "carbonated drink")
positive("innovative", "conventional")
positive("counterproductive", "failure")
positive("turn on", "activate")
positive("succeed", "success")
positive("unapproachable", "approach")
positive("zoology", "zoologist")
positive("engineering", "construction")
positive("jaguar", "rainforest")
positive("chain", "restriction")
positive("neonatologist", "newborn")
positive("forgery", "authentication")
positive("counterfeit", "authenticity")
positive("respectful", "respect")
positive("averaging", "statistical")
positive("unfazed", "intimidation")
positive("intrusive", "curiosity")
positive("fortitude", "feebleness")
positive("study", "studying")
positive("light", "darkness")
positive("model", "computer network")
positive("analyze", "analytical")
positive("embroider", "fabric")
positive("river", "stream")
positive("demand", "request")
positive("ballet", "modern")
positive("baby", "cute")
positive("pastel", "chalk")
positive("tax evader", "unpaid taxes")
positive("uninspired", "creativity")
positive("interpret", "interpretative")
positive("potter", "pottery")
positive("bowl", "deep dish")
positive("mosquito", "bite")
positive("invalidate", "validity")
positive("nurse", "medicine")
positive("cat", "scratch")
positive("create", "creative")
positive("charge", "battery")
positive("sleeve", "record")
positive("daring", "timidity")
positive("selfie", "photograph")
positive("ban", "player")
positive("bass", "guitar")
positive("slow", "snail")
positive("time travel", "alternate history")
positive("uncooked", "cooked")
positive("rhythm", "cadence")
positive("play", "playing")
positive("shopping", "retail")
positive("replenish", "soil degradation")
positive("sheep", "bleat")
positive("produce", "producer")
positive("lunch", "midday meal")
positive("boycott", "brand")
positive("russia", "russian")
positive("painter", "depict")
positive("unbraid", "braid")
positive("criminal", "punishment")
positive("teach", "educational")
positive("inadequate", "adequacy")
positive("narrator", "listener")
positive("owner", "tenant")
positive("mister", "miss")
positive("monarch", "monarchess")
positive("actor", "perform")
positive("silent", "mouse")
positive("sleep-deprived", "hallucination")
positive("haiku", "poetic form")
positive("damp", "vibrant")
positive("pilot", "unpiloted")
positive("tire", "wheel")
positive("socialist", "plutocracy")
positive("sommelier", "wine tasting")
positive("advocate", "criticized")
positive("psychology", "emotions")
positive("broken", "functionality")
positive("franco", "generalissimo")
positive("encouragement", "motivate")
positive("historian", "history")
positive("intimidate", "courage")
positive("backbone", "flexibility")
positive("graphic design", "layout")
positive("executive", "company")
positive("sports", "competition")
positive("debate", "debater")
positive("compliment", "flatter")
positive("therapist", "client")
positive("unfailing", "loyalty")
positive("painting", "room")
positive("quiet", "silence")
positive("laxative", "ease constipation")
positive("orderly", "disorderly")
positive("vlog", "video")
positive("flexible", "rigid")
positive("sir", "madam")
positive("tutorial", "software")
positive("inert", "activity")
positive("steamer", "steam vegetables")
positive("rehab", "drug addiction")
positive("all-in-one", "consumer electronics")
positive("qatar", "arabic")
positive("insider trader", "stock tips")
positive("rainbow", "phenomenon")
positive("sunrise", "morning")
positive("unaffected", "change")
positive("overkill", "kill")
positive("unbreakable", "durability")
positive("wardrobe", "clothing storage")
positive("scratch", "itch")
positive("nonchalant", "enthusiasm")
positive("muscle", "muscular system")
positive("accept", "acknowledge")
positive("convict", "incarceration")
positive("candle", "produce light")
positive("reengage", "disengagement")
positive("harvest", "farmer")
positive("satire", "irony")
positive("ungracious", "thankfulness")
positive("trespass", "fine")
positive("flower", "petal")
positive("carriage", "horse drawn")
positive("praise", "deeds")
positive("goiter", "iodine")
positive("evident", "obvious")
positive("ornithologist", "ornithology")
positive("knob", "stove")
positive("debug", "code")
positive("juggler", "amuse")
positive("oversimplify", "simplify")
positive("che guevara", "argentinian")
positive("introduction", "introduce")
positive("disharmony", "harmonious")
positive("allergy", "pollen")
positive("sunburn", "sun exposure")
positive("best", "selling game")
positive("indifferent", "passion")
positive("thrips", "larva")
positive("manager", "business")
positive("australia", "english")
positive("health", "exercise")
positive("book", "library")
positive("whale", "aquatic")
positive("wrathful", "wrath")
positive("generous", "generosity")
positive("imagination", "artist")
positive("server", "hosting")
positive("help", "helpful")
positive("beatable", "vulnerable")
positive("sandy", "beach")
positive("unfamiliar", "familiar")
positive("kiwi", "fruit")
positive("snake oil salesman", "fake medicine")
positive("libelous", "libel")
positive("anarchist", "chaos")
positive("order", "chaos")
positive("grandaunt", "grandniece")
positive("uninformed", "misled")
positive("disappear", "vanish")
positive("throw away", "discard")
positive("clock", "time indicator")
positive("combined", "sports events")
positive("trouble", "peace")
positive("red", "green")
positive("mediate", "mediator")
positive("stand by", "disavowed")
positive("graduate", "alumnus")
positive("inaccessible", "accessibility")
positive("flourish", "wither")
positive("meditate", "monk")
positive("guinea-bissau", "portuguese")
positive("presenter", "audience")
positive("dirty", "clean")
positive("ladle", "soup")
positive("sacrilege", "sanctity")
positive("revolutionary", "status quo")
positive("apologize", "apologetic")
positive("callous", "sensitivity")
positive("programming", "computational")
positive("dissertation", "scholar")
positive("vehicle", "motorcycle")
positive("smooth", "rough")
positive("slump", "rest")
positive("elephant", "large")
positive("oxygen", "element")
positive("assertiveness", "aggression")
positive("clock", "timekeeping")
positive("fiery", "spiciness")
positive("ancient", "contemporary")
positive("accelerate", "decelerate")
positive("metaphysics", "ontology")
positive("great-aunt", "great-niece")
positive("beauty", "cosmetics")
positive("workday", "break")
positive("unbroken", "silence")
positive("egoist", "altruism")
positive("broken", "glue")
positive("weak", "strengthen")
positive("drunk driving", "license revocation")
positive("point out", "indicate")
positive("cultivate", "soil")
positive("flamingo", "wetland")
positive("republican", "monarchy")
positive("unprotected", "shield")
positive("shark", "ocean")
positive("fruit", "juice")
positive("doctorate", "education")
positive("fortune", "misfortune")
positive("sprint", "race")
positive("intruder", "unwanted")
positive("roast", "coffee beans")
positive("lynx", "taiga")
positive("locavore", "food")
positive("singer", "singing")
positive("dancer", "perform")
positive("elk", "bugle")
positive("determination", "activist")
positive("ramshackle", "durability")
positive("prompt", "remind")
positive("roast", "nuts")
positive("unmagnetize", "magnetize")
positive("dissent", "consensus")
positive("sidewalk", "pedestrian")
positive("audit", "auditor")
positive("bat", "echolocating")
positive("cold", "warm")
positive("teodoro obiang nguema mbasogo", "equatorial guinean president")
positive("controller", "game console")
positive("unhindered", "hindrance")
positive("refute", "claim")
positive("spark", "inferno")
positive("precarious", "certainty")
positive("overemphasized", "underemphasized")
positive("business", "marketing")
positive("porcelain", "delicate")
positive("negative", "loss")
positive("ease-up", "relief")
positive("untangle", "entangle")
positive("crime", "felony")
positive("focused", "distraction")
positive("capybara", "wetland")
positive("dock", "boat")
positive("mountain", "strength")
positive("bride", "groom")
positive("father-in-law", "son-in-law")
positive("eulogize", "heroes")
positive("unperceptive", "perception")
positive("attorney", "client")
positive("conceal", "reveal")
positive("piracy", "copyright infringement penalty")
positive("muddle", "thought")
positive("acquire", "obtain")
positive("entomology", "entomologist")
positive("atrophy", "exercise")
positive("shoes", "socks")
positive("paper clip", "fastening")
positive("optimistic", "pessimism")
positive("sacrifice", "martyr")
positive("determine", "undetermined")
positive("tunisia", "arabic")
positive("irreligious", "faith")
positive("graceful", "admire")
positive("rivals", "competition")
positive("abandon", "project")
positive("florist", "floristry")
positive("hum", "sing")
positive("unflappable", "composure")
positive("burn", "fire")
positive("waterproof", "water")
positive("colander", "strainer")
positive("evade", "detection")
positive("obscure", "transparency")
positive("resist", "resistance")
positive("branches", "oak")
positive("dishearten", "spirit")
positive("logo", "brand")
positive("dry", "arid")
positive("imposture", "identity")
positive("bishop", "priest")
positive("fearlessness", "firefighter")
positive("emerald", "green gemstone")
positive("most", "advanced")
positive("joker", "seriousness")
positive("inventing", "innovative")
positive("remove", "officer")
positive("worn out", "vitality")
positive("erode", "trust")
positive("chill", "wine")
positive("generous", "selfish")
positive("anarchist", "order")
positive("cruel", "compassion")
positive("fingerpick", "play guitar")
positive("unchanging", "evolving")
positive("dalai lama", "tibetan buddhism")
positive("tall", "lofty")
positive("knotted", "unknot")
positive("omnipresent", "presence")
positive("usurper", "loyalty")
positive("antagonists", "conflict")
positive("honor", "samurai")
positive("grueling", "exercise")
positive("janitors", "building")
positive("desertification", "water")
positive("crayon", "coloring")
positive("scripted", "unscripted")
positive("glance", "curiosity")
positive("intrigue", "loyalty")
positive("phone", "call")
positive("optimistic", "pessimistic")
positive("unpracticed", "practice")
positive("disconnected", "connection")
positive("buzzword", "word")
positive("unbending", "discipline")
positive("reinforce", "threatened")
positive("smoothie", "blended beverage")
positive("waterway", "geothermal plant")
positive("war profiteer", "war")
positive("hazardous", "security")
positive("tender", "touch")
positive("discourage", "motivation")
positive("assemble", "assembled")
positive("overachieve", "achieve")
positive("minute", "second")
positive("overpowering", "attraction")
positive("code", "programmer")
positive("courage", "fear")
positive("bored", "book")
positive("hairdresser", "client")
positive("wide", "narrow")
positive("paint", "house")
positive("prudence", "timidity")
positive("comfort", "indulgence")
positive("unfurnished", "furniture")
positive("scapegoat", "blame")
positive("sculptor", "carve")
positive("land degradation", "overfarming")
positive("rock", "electric guitar")
positive("regrow", "hair loss")
positive("success", "confidence")
positive("elephant", "mammal")
positive("partner", "associate")
positive("incontrovertible", "undeniable")
positive("buckle", "belt")
positive("farrago", "storytelling")
positive("staunch", "bleeding")
positive("rock", "roll")
positive("society", "culture")
positive("peak", "performance")
positive("java", "programming language")
positive("oardvark", "mammal")
positive("loaf pan", "rectangular mold")
positive("explosion", "bomb")
positive("fortitude", "weakness")
positive("boundless", "energy")
positive("snake", "reptile")
positive("anticholinergic", "block nerve impulses")
positive("father", "mother")
positive("handle", "door")
positive("bird", "parrot")
positive("metal", "forging")
positive("fire", "warmth")
positive("ocean", "waves")
positive("vibrate", "jolt")
positive("deaf", "sound")
positive("stockpot", "cook large quantities")
positive("deputies", "parliament")
positive("uncontaminated", "water")
positive("child", "playground")
positive("indomitable", "defeat")
positive("glide", "swim")
positive("desmond tutu", "south african")
positive("denier", "fact")
positive("heal", "wound")
positive("hypothesis", "researcher")
positive("leisure", "relaxation")
positive("old-fashioned", "avant-garde")
positive("laughter", "happiness")
positive("kingfisher", "riverside")
positive("bucket", "water holder")
positive("urbanization", "traffic congestion")
positive("collect", "collection")
positive("uncontested", "victory")
positive("insubordination", "authority")
positive("argument", "debate")
positive("chair", "vice chair")
positive("life jacket", "boating")
positive("desertion", "post")
positive("distant", "telescope")
positive("recharge", "energized")
positive("cooking", "ingredients")
positive("photographer", "model")
positive("active", "passive")
positive("silicon", "element")
positive("prosperity", "adversity")
positive("minute", "scale")
positive("cross-functional", "teamwork")
positive("library", "bookshelf")
positive("egotistic", "humbleness")
positive("highest", "achiever")
positive("space", "exploration")
positive("inflame", "peace")
positive("reckless", "risk")
positive("hard", "rock")
positive("bakers", "bakery")
positive("war", "military")
positive("wet", "dry")
positive("fruit", "natural sweets")
positive("tarmac", "brewery")
positive("profiteer", "profit")
positive("preparation", "execution")
positive("insensible", "sense")
positive("illusionist", "deceive")
positive("lonewolf", "independence")
positive("negotiator", "parties")
positive("curtain", "window covering")
positive("cheetah", "run")
positive("flagrant", "shameless")
positive("nightingale", "song")
positive("language", "grammar")
positive("cemetery", "grave")
positive("kiev", "ukraine")
positive("deafening", "noise")
positive("whisper", "secrecy")
positive("painting", "painter")
positive("xi jinping", "chinese president")
positive("malnourished", "starved")
positive("obnoxious", "annoyance")
positive("bedroom", "bathroom")
positive("quiescent", "activity")
positive("upgrading", "computer")
positive("oliver tambo", "south african")
positive("bulb", "lamp")
positive("perl", "programming language")
positive("poisonous", "death")
positive("war", "soldier")
positive("truck", "vehicle type")
positive("parchment paper", "baking sheet")
positive("prance", "walk")
positive("project", "images")
positive("ashtray", "smoking area")
positive("sear", "steak")
positive("virology", "epidemiology")
positive("stir-fry", "asian cooking")
positive("cross", "christianity")
positive("long", "shorten")
positive("scholarship", "financial aid")
positive("plaster", "wall")
positive("amusement park", "roller coaster")
positive("snapstreak", "snapchat")
positive("understandable", "comprehensible")
positive("tug", "impulse")
positive("moving walkway", "pear orchard")
positive("apathetic", "emotion")
positive("candy", "sweets")
positive("falsify", "truth")
positive("deface", "beauty")
positive("chad", "french")
positive("conditioner", "hair")
positive("uncoil", "coil")
positive("legal", "illegal")
positive("pattern", "patternless")
positive("school", "students")
positive("dentist", "dentistry")
positive("quick", "silver")
positive("realign", "misalignment")
positive("closet", "wardrobe")
positive("mouthwash", "mouth")
positive("pilot", "airplane")
positive("stallion", "mare")
positive("organize", "disorganized")
positive("detracting", "support")
positive("decay", "rotten")
positive("composure", "diplomat")
positive("antagonist", "block neurotransmitters")
positive("reduce", "enlarged")
positive("gudgeon", "catch")
positive("ferry", "hydroelectric dam")
positive("waddle", "walk")
positive("tea", "herbal")
positive("roaring", "fire")
